43,43
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
10035,35.645077,139.352673
10016,35.6450899,139.3526861
10036,35.6451008,139.3526968
10014,35.6450986,139.3526673
10017,35.6450801,139.3526519
10018,35.6450605,139.3526378
10012,35.6451221,139.3526157
10011,35.6451346,139.3525875
10013,35.6451095,139.3526439
10010,35.6451444,139.352566
10009,35.6451569,139.3525627
10008,35.6451553,139.3525413
10007,35.64514,139.3524279
10006,35.645134,139.3524078
10005,35.6451128,139.3523958
10004,35.6450888,139.352381
10003,35.6450583,139.3523636
10002,35.6450294,139.3523461
10001,35.6450016,139.35233
10037,35.6449951,139.3523435
10019,35.6450458,139.352664
10020,35.645031,139.3526901
10021,35.6450207,139.3526821
10023,35.6449929,139.3527297
10024,35.6450016,139.3527505
10025,35.6450223,139.3527679
10026,35.644994,139.3528027
10022,35.6450098,139.3527371
10027,35.6449727,139.352841
10028,35.6449477,139.3528276
10029,35.6449548,139.3528765
10030,35.644933,139.3529181
10031,35.6449155,139.3529503
10032,35.644933,139.3529651
10033,35.6449515,139.3529798
10034,35.6449602,139.3529664
10051,35.638967,139.2964838
10052,35.6390514,139.2964885
10053,35.6390563,139.2963798
10054,35.6389048,139.2963738
10055,35.6389174,139.2961485
10056,35.6392302,139.2961713
10057,35.6392253,139.2962524
10058,35.6391599,139.2962504
10059,35.6391397,139.2965864
10060,35.6389506,139.2965703
